id,key,stat,p,group,population,name,z
575,452098,0.681265385734858,0.01,HH,801,010730047021,332.6347874040841
576,452099,0.9478822771049805,0.17,HH,1139,010730047023,195.41652531461943
580,452103,0.6386429053202148,0.11,HH,459,010730118043,222.65281200366104
590,452113,0.01520078512585916,0.06,HH,2455,011010056033,255.47735945968535
601,452124,0.13370295817114167,0.39,HH,1178,011010015001,127.93190344474542
607,452130,0.1647870430801069,0.24,HH,876,011010016001,170.63025628400874
613,452136,0.707802565047801,0.14,HH,1573,011010017004,208.0319340814956
614,452137,0.36702584162409385,0.13,HH,1298,011010017003,212.63911290388006
615,452138,0.45077989554701936,0.14,HH,641,011010017005,208.0319340814956
622,452145,0.11104054982589645,0.42,HH,1843,010830210001,120.1893479141851
641,452164,0.3939305697753321,0.25,HH,1757,010730128034,167.44897501960816
643,452166,0.023145930206305523,0.34,HH,743,010730111072,141.24631294414047
644,452167,0.1193590154939248,0.24,HH,3502,011250106021,170.63025628400874
654,452177,0.5881081565597854,0.18,HH,1566,011250103012,191.53650878428144
655,452178,0.021448971949549738,0.46,HH,3170,011250125032,110.04337205114699
664,452187,0.004189136502876673,0.48,HH,599,010499601003,105.01535834647336
665,452188,0.0048754080375441175,0.4,HH,1253,010499614001,125.33471031357998
671,452194,5.104251953226104,0.02,HH,1811,010730129102,305.37489106318225
673,452196,0.04843242851730729,0.37,HH,1641,010499603005,133.18533464368167
682,452205,0.07531734109326511,0.38,HH,1024,010499604004,130.54807880993974
696,452219,0.012317711570944825,0.36,HH,1216,010499610003,135.84587932511937
700,452223,0.0025253215483585427,0.46,HH,2252,010499601001,110.04337205114699
701,452224,0.14231013600310757,0.37,HH,1066,010499613005,133.18533464368167
706,452229,0.01987463772598019,0.55,HH,703,010539707003,87.43386531449258
709,452232,1.1193555369660821,0.07,HH,2894,010730129123,247.579102817917
710,452233,1.492299761414445,0.01,HH,2683,010730129132,332.6347874040841
715,452238,0.2097672144916815,0.14,HH,843,010539707004,208.0319340814956
716,452239,0.28466773653088057,0.02,HH,847,010179547003,305.37489106318225
727,452250,0.1611176646691862,0.11,HH,1406,010730045002,222.65281200366104
728,452251,0.44700321909854307,0.15,HH,1917,011250125023,203.64333894937897
729,452252,0.3508398206575233,0.14,HH,1691,011250104033,208.0319340814956
730,452253,0.034409198831489546,0.28,HH,3809,010730111071,158.2841507271216
740,452263,0.04419620390634448,0.47,HH,1295,010510309022,107.526986209983
742,452265,0.5186865196487493,0.15,HH,2552,010510309012,203.64333894937897
745,452268,1.1239659964800262,0.16,HH,1777,010510306001,199.4457883209753
747,452270,0.661274440592248,0.03,HH,2923,010510310002,288.0793608151251
750,452273,0.1659891352813242,0.39,HH,1804,010730114002,127.93190344474542
763,452286,1.6171886759732519,0.11,HH,538,010730047011,222.65281200366104
766,452289,0.5564336724073171,0.04,HH,408,010730024005,275.0686071252169
776,452299,0.23511372656564541,0.09,HH,885,010730143013,234.07550336902165
777,452300,0.11880358598039692,0.45,HH,2063,011250123034,112.56613468550742
780,452303,0.0793428746969836,0.46,HH,1454,010730118041,110.04337205114699
781,452304,0.006660111445762366,0.53,HH,1257,010730115004,92.473013790017
792,452315,0.474948506593162,0.08,HH,1991,010150021033,240.5071560309633
795,452318,0.1137265485613148,0.3,HH,1088,010150020005,152.44005127080408
799,452322,0.041870432388792636,0.08,HH,587,010770115011,240.5071560309633
803,452326,0.23894966925568376,0.28,HH,5576,010890106121,158.2841507271216
805,452328,0.1139132925565463,0.18,HH,2479,010890107023,191.53650878428144
807,452330,0.03561190754657952,0.32,HH,2391,010890103022,146.7698799114508
808,452331,0.21181632845616905,0.16,HH,2244,010890101002,199.4457883209753
811,452334,0.11673378353845504,0.32,HH,3437,010890102002,146.7698799114508
813,452336,0.011666161327999736,0.33,HH,1632,010770115022,143.99131656732337
823,452346,0.01159059925031329,0.44,HH,2103,010970056002,115.09692154967775
826,452349,0.0021589141251028288,0.25,HH,1336,010970057001,167.44897501960816
830,452353,0.012615021319177331,0.54,HH,1568,010330208023,89.95662794885301
834,452357,0.05702607899863777,0.56,HH,462,010770111021,84.90307845032225
838,452361,0.019001575220970672,0.55,HH,1970,010770116022,87.43386531449258
845,452368,1.102719792816957,0.05,HH,1956,010030107052,264.4853626951472
846,452369,0.017204579377668155,0.43,HH,1354,010610502001,117.63741647808615
873,452396,0.16577722149541171,0.13,HH,3214,010970068012,212.63911290388006
912,452435,0.27360660884976756,0.08,HH,1714,010970032042,240.5071560309633
917,452440,0.0037078001315882167,0.46,HH,1549,010770109003,110.04337205114699
921,452444,0.015512000389644667,0.45,HH,879,010770110001,112.56613468550742
922,452445,0.8964566463070236,0.08,HH,855,010770111024,240.5071560309633
923,452446,0.3786589032081889,0.11,HH,2209,010770111023,222.65281200366104
948,452471,0.044634069042403815,0.26,HH,1357,010690408002,164.3345405392917
959,452482,0.026181471339728115,0.33,HH,1035,010690404001,143.99131656732337
961,452484,0.12444076782745428,0.3,HH,1039,010690405002,152.44005127080408
962,452485,0.004059562151343185,0.55,HH,1078,010690405001,87.43386531449258
963,452486,0.0014620759973723333,0.47,HH,759,010690404002,107.526986209983
964,452487,0.16417754688142872,0.17,HH,1483,010690405003,195.41652531461943
967,452490,0.014114178345556385,0.46,HH,1618,010690407002,110.04337205114699
969,452492,0.014609009581758819,0.36,HH,1679,010690401002,135.84587932511937
977,452500,0.07036636057295931,0.26,HH,2230,010690401001,164.3345405392917
978,452501,0.0002930063783264611,0.58,HH,1713,010690416001,79.81065208581492
982,452505,0.008508173468216215,0.51,HH,1479,010690401003,97.49310917412889
983,452506,0.06066792316804652,0.24,HH,2632,010690408001,170.63025628400874
990,452513,0.011066999258934836,0.36,HH,2971,010690421002,135.84587932511937
1020,452543,0.18038046667364036,0.22,HH,1087,010210604012,177.21932141886847
1021,452544,0.1116810377421203,0.49,HH,945,010210601022,102.50689082587111
1022,452545,0.01783670811167723,0.37,HH,2630,010210604013,133.18533464368167
1056,452579,0.13548286275749466,0.26,HH,1585,011010056064,164.3345405392917
1057,452580,0.30239724725109446,0.19,HH,4409,011010056071,187.7896295051229
1059,452582,0.5595468005254814,0.27,HH,2174,011010054104,161.28129910166274
1067,452590,1.6769269786840226,0.02,HH,2176,011170303142,305.37489106318225
1068,452591,0.9165690088412141,0.18,HH,3282,011170303362,191.53650878428144
1070,452593,0.3100711204689712,0.08,HH,2681,011170303402,240.5071560309633
1071,452594,0.8729279218691,0.02,HH,2347,011170303411,305.37489106318225
1074,452597,1.723604658386787,0.02,HH,1384,011170305012,305.37489106318225
1075,452598,1.1580270094149647,0.05,HH,3788,011170305013,264.4853626951472
1076,452599,0.38692066048911017,0.07,HH,2923,011170306043,247.579102817917
1096,452619,0.6776547137737386,0.08,HH,1719,011010054071,240.5071560309633
1100,452623,0.2488162990389999,0.17,HH,2138,011170306072,195.41652531461943
1101,452624,0.13983667426468818,0.42,HH,1490,011170306083,120.1893479141851
1105,452628,0.12043085887336329,0.2,HH,2121,011170305011,184.16212335729142
1111,452634,0.03231284607261014,0.42,HH,1043,011170301031,120.1893479141851
1124,452647,0.1705351503217117,0.17,HH,1578,011010021003,195.41652531461943
1125,452648,0.02664532198622999,0.44,HH,1706,011010021002,115.09692154967775
1126,452649,0.07728532813694378,0.39,HH,851,011010022013,127.93190344474542
1140,452663,0.027082912455733285,0.3,HH,6618,010830212001,152.44005127080408
1142,452665,0.01874277472301296,0.22,HH,1268,011010022021,177.21932141886847
1154,452677,0.018501352559798127,0.42,HH,3272,010830208022,120.1893479141851
1158,452681,0.028501369112915394,0.24,HH,1548,010830209002,170.63025628400874
1160,452683,0.13082102196517417,0.07,HH,2176,010830208023,247.579102817917
1162,452685,0.05485448713640568,0.36,HH,1227,011010028003,135.84587932511937
1163,452686,0.021822313991805724,0.13,HH,717,011010029001,212.63911290388006
1164,452687,0.33822648301926056,0.03,HH,1376,011010029002,288.0793608151251
1181,452704,0.09250090615208173,0.27,HH,1096,011010031003,161.28129910166274
1185,452708,0.10212706314028457,0.19,HH,2501,010550104022,187.7896295051229
1190,452713,0.20571649451166504,0.07,HH,764,011010032003,247.579102817917
1191,452714,0.14591674396869195,0.38,HH,1397,011010032004,130.54807880993974
1192,452715,1.3227978373489622,0.08,HH,825,011010032005,240.5071560309633
1193,452716,0.3277140873376365,0.08,HH,1454,011010033012,240.5071560309633
1194,452717,0.15651002734294564,0.29,HH,532,011010033013,155.3384719555673
1196,452719,0.18615214983988043,0.12,HH,1211,011010032006,217.49867920660904
1201,452724,0.48210160246801415,0.1,HH,2344,011010033021,228.15515655446004
1208,452731,0.2703217600842427,0.16,HH,869,011010033023,199.4457883209753
1209,452732,0.6349155261092152,0.13,HH,2650,011010054021,212.63911290388006
1210,452733,0.2332770905415012,0.02,HH,1965,011010054022,305.37489106318225
1211,452734,0.1863330070058017,0.15,HH,1098,011010054024,203.64333894937897
1215,452738,0.8093265071058324,0.1,HH,1523,011010054091,228.15515655446004
1218,452741,0.08470851459399914,0.08,HH,4255,010690402011,240.5071560309633
1222,452745,0.06873600290708974,0.04,HH,1466,011010054103,275.0686071252169
1223,452746,0.008162742264125443,0.32,HH,613,011010054061,146.7698799114508
1224,452747,0.37987425370159844,0.03,HH,3188,011250106023,288.0793608151251
1227,452750,0.16861332052592004,0.02,HH,4268,011250106022,305.37489106318225
1228,452751,0.041783452964034795,0.11,HH,3308,011250102021,222.65281200366104
1229,452752,0.543109414887622,0.1,HH,2215,011250102041,228.15515655446004
1231,452754,0.5413240785884177,0.09,HH,3587,011250102011,234.07550336902165
1232,452755,0.005368560764916698,0.15,HH,370,011250101021,203.64333894937897
1241,452764,2.2960633999440448e-05,0.5,HH,1878,011150401052,100.0
1242,452765,0.8182718629441034,0.04,HH,2171,011010056052,275.0686071252169
1243,452766,0.24464751076021532,0.31,HH,1126,011150401063,149.5850347347453
1244,452767,0.38880479635224785,0.05,HH,3269,011150401062,264.4853626951472
1250,452773,0.4968188931987009,0.14,HH,3021,011250125021,208.0319340814956
1252,452775,0.2994617297119746,0.05,HH,1311,011250104031,264.4853626951472
1254,452777,0.17403948889587384,0.17,HH,1896,011250107023,195.41652531461943
1256,452779,0.6248938272732965,0.08,HH,944,011250102042,240.5071560309633
1259,452782,0.2643088767189368,0.03,HH,3987,011250102023,288.0793608151251
1261,452784,0.004648480349719644,0.49,HH,2645,011250103011,102.50689082587111
1263,452786,0.09080910170864097,0.39,HH,1995,010210604011,127.93190344474542
1265,452788,0.08216671166716755,0.22,HH,2856,010210601025,177.21932141886847
1270,452793,0.5125018420444024,0.06,HH,2728,010030107041,255.47735945968535
1276,452799,0.3867607967726045,0.25,HH,685,010550104011,167.44897501960816
1286,452809,0.005789990309207391,0.35,HH,2099,011030051063,138.5320466407568
1288,452811,0.012955022504445506,0.27,HH,1537,011030003002,161.28129910166274
1289,452812,1.1878077516718133,0.03,HH,791,010730129064,288.0793608151251
1291,452814,0.0032645540751501923,0.38,HH,1345,010730124032,130.54807880993974
1295,452818,3.1255072231665944,0.01,HH,1143,010730129082,332.6347874040841
1298,452821,2.079059206898615,0.02,HH,1392,010730049021,305.37489106318225
1299,452822,0.6491975088503489,0.04,HH,680,010730049012,275.0686071252169
1302,452825,0.0008845935835136674,0.57,HH,2776,010730142043,82.36258352191388
1303,452826,0.010777669607619306,0.27,HH,2311,010730140021,161.28129910166274
1311,452834,1.8192285133801502,0.01,HH,1467,010730144042,332.6347874040841
1312,452835,2.122731920526822,0.03,HH,599,010730129154,288.0793608151251
1317,452840,0.08025607612771088,0.24,HH,3800,010730142033,170.63025628400874
1319,452842,0.003812690071400414,0.48,HH,656,010550011002,105.01535834647336
1327,452850,0.0065502412723086835,0.39,HH,1778,010150012011,127.93190344474542
1337,452860,1.0480093606076686,0.01,HH,1329,010730129063,332.6347874040841
1339,452862,0.7952265998466951,0.04,HH,3084,010730141051,275.0686071252169
1344,452867,0.03014541742238199,0.07,HH,1848,010730059032,247.579102817917
1352,452875,0.03725567947060934,0.3,HH,3660,010510309011,152.44005127080408
1354,452877,0.037967727514324784,0.47,HH,1948,010510307011,107.526986209983
1368,452891,0.03400681015327009,0.44,HH,2703,010150011002,115.09692154967775
1369,452892,2.9948861815570735,0.01,HH,1494,010730023062,332.6347874040841
1372,452895,0.0021069386005724586,0.43,HH,1308,010730124034,117.63741647808615
1373,452896,0.12282144436267675,0.35,HH,3534,010030114032,138.5320466407568
1374,452897,0.9117407078944787,0.09,HH,691,010730118021,234.07550336902165
1376,452899,0.2678909039098766,0.04,HH,1933,010730129073,275.0686071252169
1379,452902,1.0723289291406488,0.01,HH,1510,010730111042,332.6347874040841
1382,452905,0.7971179326373274,0.08,HH,2310,010730144052,240.5071560309633
1386,452909,0.0020296690653634486,0.41,HH,1741,010730059101,122.75449766411496
1389,452912,0.1683984465950694,0.26,HH,1120,010730144062,164.3345405392917
1390,452913,0.44735400668206177,0.2,HH,1876,010730112081,184.16212335729142
1391,452914,0.023785722671764174,0.26,HH,3925,010730144131,164.3345405392917
1392,452915,0.42198656023328524,0.09,HH,3355,010730144122,234.07550336902165
